Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.051476475769397,Original,1
HH_L5_weight,0.039061060605259317,Original,2
HH_L3_weight,0.037616733878210226,Original,3
HH_L5_magnitude,0.03296639485924057,Original,4
HH_L1_magnitude,0.03295141509499797,Original,5
HH_L1_mean,0.03199440692959532,Original,6
HH_L3_mean,0.031100355091083914,Original,7
HH_L5_mean,0.028838170250134826,Original,8
HH_L3_magnitude,0.02503875023739585,Original,9
HH_L1_std,0.024381659420094695,Original,10
HH_L5_radius,0.02337659560241744,Original,11
HH_L1_radius,0.02116665086076088,Original,12
HH_L5_std,0.018483913410718353,Original,13
HH_L3_radius,0.017489602640934368,Original,14
HpHp_L0.01_pcc,0.01674388881133265,Original,15
