Model,Feature,SHAP_Value,Feature_Type,Rank
ExtraTrees Original,HH_L1_weight,0.02956639013364329,Original,1
ExtraTrees Original,HH_L3_magnitude,0.025027280921629237,Original,2
ExtraTrees Original,HH_L5_magnitude,0.02492980092057731,Original,3
ExtraTrees Original,HH_L1_magnitude,0.023636475922118278,Original,4
ExtraTrees Original,HH_L3_weight,0.023207542895340022,Original,5
ExtraTrees Original,HH_L5_weight,0.019299662151446247,Original,6
ExtraTrees Original,HH_L5_mean,0.019203059778783935,Original,7
ExtraTrees Original,HH_L3_mean,0.01730753308943502,Original,8
ExtraTrees Original,HH_L1_mean,0.016939931275903243,Original,9
ExtraTrees Original,HH_L1_radius,0.01113090848226493,Original,10
ExtraTrees Original,HH_L1_std,0.010846504126515978,Original,11
ExtraTrees Original,HH_L5_std,0.007294332599401027,Original,12
ExtraTrees Original,HH_L3_std,0.006866268409628304,Original,13
ExtraTrees Original,HH_L5_radius,0.006413996540420916,Original,14
ExtraTrees Original,HH_L3_radius,0.0059405342955755015,Original,15
ExtraTrees BigFeat,HH_L1_weight,0.021067889196972733,Original,1
ExtraTrees BigFeat,BigFeat_Gen_0,0.019766525211338738,BigFeat_Generated,2
ExtraTrees BigFeat,HH_L5_magnitude,0.018409078536995114,Original,3
ExtraTrees BigFeat,HH_L1_magnitude,0.015441573693175196,Original,4
ExtraTrees BigFeat,HH_L5_weight,0.015242006917422477,Original,5
ExtraTrees BigFeat,HH_L3_magnitude,0.015094210990177586,Original,6
ExtraTrees BigFeat,BigFeat_Gen_4,0.01447663172769195,BigFeat_Generated,7
ExtraTrees BigFeat,HH_L1_mean,0.013371072090332453,Original,8
ExtraTrees BigFeat,HH_L3_weight,0.012886605971897858,Original,9
ExtraTrees BigFeat,HH_L5_mean,0.011461814947837691,Original,10
ExtraTrees BigFeat,BigFeat_Gen_3,0.01136433928991168,BigFeat_Generated,11
ExtraTrees BigFeat,BigFeat_Gen_2,0.011172936899540308,BigFeat_Generated,12
ExtraTrees BigFeat,HH_L3_mean,0.010942571178234687,Original,13
ExtraTrees BigFeat,BigFeat_Gen_1,0.010867634838293101,BigFeat_Generated,14
ExtraTrees BigFeat,HH_L1_radius,0.00867638793127925,Original,15
TPOT Original,HH_L1_weight,0.0343816466909664,Original,1
TPOT Original,HH_L3_magnitude,0.030612050464281435,Original,2
TPOT Original,HH_L1_magnitude,0.029459465448197126,Original,3
TPOT Original,HH_L3_weight,0.02480994128466532,Original,4
TPOT Original,HH_L5_magnitude,0.022585183552139534,Original,5
TPOT Original,HH_L1_mean,0.020508526393946677,Original,6
TPOT Original,HH_L3_mean,0.019423254454974635,Original,7
TPOT Original,HH_L5_weight,0.018658264660192533,Original,8
TPOT Original,HH_L5_mean,0.01840830171025884,Original,9
TPOT Original,HH_L5_radius,0.009072778906982732,Original,10
TPOT Original,HH_L3_radius,0.008969233272544973,Original,11
TPOT Original,HH_L1_radius,0.00888665177867541,Original,12
TPOT Original,HH_L5_std,0.00858711396578478,Original,13
TPOT Original,HH_L3_std,0.008376538062003053,Original,14
TPOT Original,HH_L1_std,0.008282245413867207,Original,15
TPOT BigFeat,HH_L1_weight,0.01686971844034812,Original,1
TPOT BigFeat,HH_L3_magnitude,0.01546305547876039,Original,2
TPOT BigFeat,HH_L5_magnitude,0.014773599144991283,Original,3
TPOT BigFeat,HH_L5_weight,0.01398236878890468,Original,4
TPOT BigFeat,BigFeat_Gen_4,0.013111892277601109,BigFeat_Generated,5
TPOT BigFeat,BigFeat_Gen_0,0.012315486762677469,BigFeat_Generated,6
TPOT BigFeat,HH_L3_weight,0.011704068827513393,Original,7
TPOT BigFeat,HH_L1_magnitude,0.011459177854357874,Original,8
TPOT BigFeat,BigFeat_Gen_1,0.010555564501459771,BigFeat_Generated,9
TPOT BigFeat,HH_L1_mean,0.010104855143419453,Original,10
TPOT BigFeat,BigFeat_Gen_5,0.00876991220027812,BigFeat_Generated,11
TPOT BigFeat,BigFeat_Gen_3,0.008147067214202764,BigFeat_Generated,12
TPOT BigFeat,HH_L3_mean,0.007927826354534671,Original,13
TPOT BigFeat,HH_L5_mean,0.007813875114232769,Original,14
TPOT BigFeat,HH_L1_radius,0.007269230767281682,Original,15
