feature,importance
HH_L1_weight,0.17344938914879374
HH_L1_magnitude,0.1069997517718297
HH_L3_magnitude,0.08729805448644498
HH_L3_weight,0.0863472122055457
HH_L5_weight,0.07659476474816096
HH_L1_mean,0.07576537526695735
HH_L5_magnitude,0.07244709575375358
HH_L3_mean,0.06657513609689288
HH_L1_radius,0.05978950526604154
HH_L5_mean,0.04259214623320148
HH_L1_std,0.04221223971726909
HH_L3_covariance,0.020505237458367825
HH_L3_radius,0.02027942779050313
HH_L3_std,0.016623554370145312
HH_L3_pcc,0.013591919969976874
HH_L5_covariance,0.011554024878726388
HH_L5_radius,0.011247596930791772
HH_L5_std,0.008697212645524897
HH_L5_pcc,0.006742562567998482
HpHp_L0.01_pcc,0.0006877926930743102
